Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
HSY;3;2;0,9;0,0047;0,1;0,0523;2,1429;0,5;0,0;0,4101000130176544;5,443900108337402;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;3;0,9;0,0096;0,0756;0,2449;2,3016;0,3333;0,4505999982357025;0,6162999868392944;5,013400077819824;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;4;2;0,8;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,489299774169922;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;3;1,0;0,0053;0,0541;0,1066;2,0;0,5;0,0;0,0;5,368800163269043;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;3;0,9;0,005;0,0;0,0803;2,0;1,0;0,0;0,0;5,405399799346924;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;4;2;0,9;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,489299774169922;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;3;1,0;0,0109;0,109;0,2567;2,2933;0,3333;0,3046000003814697;0,6385999917984009;4,929200172424316;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;2;0,8;0,0088;0,094;0,2358;2,2241;0,25;0,4505999982357025;0,4507000148296356;5,108799934387207;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;4;1;1,0;0,0044;0,25;0,0625;2,8333;0,3333;0,0;1,0113999843597412;5,475800037384033;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;3;0,8;0,0085;0,0956;0,2481;2,2632;0,3333;0,4505999982357025;0,5860000252723694;5,134399890899658;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;4;2;1,0;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,489299774169922;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;3;0,8;0,0047;0,0;0,0712;2,0;1,0;0,0;0,0;5,441999912261963;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;1;1,0;0,0126;0,4238;0,2576;2,6711;0,2;0,9093000292778015;0,8913999795913696;4,85830020904541;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;1;0,8;0,0046;0,4211;0,0453;2,1667;0,5;0,0;0,4505999982357025;5,449100017547607;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;4;3;0,8;0,0042;0,0;0,0163;2,0;1,0;0,0;0,0;5,474699974060059;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;2;1,0;0,0111;0,1403;0,2764;2,3012;0,25;0,7903000116348267;0,5690000057220459;4,946899890899658;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;2;1,0;0,0049;0,08;0,064;2,1111;0,5;0,0;0,34880000352859497;5,427000045776367;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;3;1;1,0;0,0056;0,54;0,1404;3,0625;0,25;0,566100001335144;1,2342000007629395;5,360599994659424;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
HSY;2;1;0,9;0,0107;0,3876;0,2365;2,7719;0,2;0,8026000261306763;0,9703999757766724;4,968400001525879;2;0,5970824304655289;0,0;0,722486906572056;1,319569337037585;Best
