Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
AAPL;2;1;1,0;0,0097;0,3164;0,1689;2,1702;0,2;0,8568999767303467;0,46320000290870667;4,9542999267578125;2;-26,8375;0,0225;-0,7584
GOOG;2;1;1,0;0,0107;0,3206;0,274;2,2593;0,3333;0,44179999828338623;0,6037999987602234;4,936299800872803;2;-41,6605;0,0245;-1,081
MSFT;2;1;1,0;0,0062;0,3235;0,1244;3,2;0,25;0,8486999869346619;1,0437999963760376;5,302800178527832;2;-26,2126;0,0223;-0,7468
AMZN;2;1;1,0;0,0067;0,2706;0,0929;2,2941;0,3333;0,3046000003814697;0,6057999730110168;5,2617998123168945;2;-58,2284;0,0316;-1,1711
META;2;1;1,0;0,0051;0,1818;0,038;2,0;0,5;0,0;0,0;5,396599769592285;2;-81,5559;0,0406;-1,2769
XOM;2;1;1,0;0,0149;0,3706;0,3032;2,431;0,2;0,725600004196167;0,816100001335144;4,7118000984191895;2;65,175;0,022;1,8785
CVX;2;1;1,0;0,0098;0,3094;0,1552;2,2093;0,25;0,4311000108718872;0,5130000114440918;4,961299896240234;2;49,8271;0,0208;1,5241
BP;2;1;1,0;0,1489;0,8777;0,9153;4,2085;0,0312;1,7496999502182007;1,9609999656677246;3,553100109100342;2;35,047;0,0224;0,9917
GAZP.ME;2;1;1,0;0,0164;0,4;0,1753;2,4286;0,5;0,0;0,6829000115394592;4,216400146484375;2;-12,4395;0,0606;-0,4235
LUKOY;2;1;1,0;0,6737;0,9991;0,9986;100,5861;0,0062;4,011000156402588;0,7918000221252441;1,8960000276565552;2;-148,0278;0,0921;-1,021
TSLA;2;1;1,0;0,0045;0,0;0,0286;2,0;1,0;0,0;0,0;5,462699890136719;2;-96,1875;0,0412;-1,4841
F;2;1;1,0;0,1858;0,9648;0,9764;8,054;0,0085;2,3958001136779785;2,793299913406372;3,823699951171875;2;-47,4796;0,0309;-0,9761
GM;2;1;1,0;0,0598;0,7169;0,707;3,008;0,0909;1,3265999555587769;1,3538000583648682;3,8485000133514404;2;-49,7023;0,0277;-1,1394
TM;2;1;1,0;0,01;0,3316;0,2276;2,1846;0,25;0,3984000086784363;0,5062000155448914;4,975500106811523;2;-27,2904;0,0173;-1,0008
HMC;2;1;1,0;0,1812;0,9372;0,9549;7,0812;0,0161;2,3136000633239746;2,6644999980926514;3,5940001010894775;2;-15,5847;0,0176;-0,5629
GLD;2;1;1,0;0,022;0,4752;0,4543;2,4743;0,1;0,832099974155426;0,9108999967575073;4,471700191497803;2;1,9204;0,0096;0,1271
SLV;2;1;1,0;0,1799;0,9563;0,9726;7,2137;0,0054;2,2808001041412354;2,662400007247925;3,640000104904175;2;8,3313;0,019;0,2788
PALL;2;1;1,0;0,0064;0,1892;0,0905;2,1176;0,5;0,0;0,362199991941452;5,316400051116943;2;10,6484;0,0324;0,2089
PLAT;2;1;1,0;0,0793;0,8058;0,8356;3,5545;0,0667;1,6181999444961548;1,6907000541687012;3,6236000061035156;2;-49,7611;0,025;-1,2643
FCX;2;1;1,0;0,0379;0,6308;0,5946;2,6466;0,1429;0,9857000112533569;1,083799958229065;4,107999801635742;2;7,3001;0,034;0,1364
SPY;2;1;1,0;0,0055;0,2083;0,0318;2,2;0,5;0,0;0,5004000067710876;5,363900184631348;2;-17,7133;0,0153;-0,7353
IVV;2;1;1,0;0,0055;0,2083;0,0318;2,2;0,5;0,0;0,5004000067710876;5,367499828338623;2;-17,7171;0,0153;-0,7358
VOO;2;1;1,0;0,006;0,1935;0,0348;2,1667;0,5;0,0;0,4505999982357025;5,311800003051758;2;-17,7629;0,0153;-0,7395
QQQ;2;1;1,0;0,0054;0,2326;0,0417;2,0;0,25;0,5623000264167786;0,0;5,373799800872803;2;-35,2202;0,0203;-1,1027
DIA;2;1;1,0;0,0088;0,2781;0,0779;2,5294;0,25;0,5367000102996826;0,8687000274658203;5,032199859619141;2;-5,9812;0,0125;-0,3045
