Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
XOM;2;1;1,0;0.0149;0.3706;0.3032;2.431;0.2;0.725600004196167;0.816100001335144;4.7118000984191895;2;65.175;0.022;1.8785;1.6075949367088609;Best
CVX;2;1;1,0;0.0098;0.3077;0.158;2.2045;0.25;0.4311000108718872;0.506600022315979;4.960299968719482;2;49.8271;0.0208;1.5241000000000002;1.4470863837707046;Best
BP;2;1;1,0;0.1489;0.8777;0.9153;4.2085;0.0312;1.7496999502182007;1.9609999656677246;3.553100109100342;2;35.047000000000004;0.0224;0.9917;1.1495712729529752;Best
GLD;2;1;1,0;0.022;0.4752;0.4543;2.4743;0.1;0.832099974155426;0.9108999967575073;4.471700191497803;2;1.9203999999999943;0.0096;0.1270999999999999;1.0971612589774127;Best
PPLT;2;1;1,0;0.0305;0.5097;0.4822;2.9082;0.1429;1.0195000171661377;1.2473000288009644;4.347400188446045;2;15.290299999999997;0.019;0.5102;0.9942890342650567;Best
SLV;2;1;1,0;0.1799;0.9563;0.9726;7.2137;0.0054;2.2808001041412354;2.662400007247925;3.640000104904175;2;8.331299999999995;0.019;0.27880000000000016;0.8836694606018559;Best
DIA;2;1;1,0;0.0088;0.2781;0.0779;2.5294;0.25;0.5367000102996826;0.8687000274658203;5.032199859619141;2;-5.981199999999995;0.0125;-0.3045;0.8305351443043132;Best
ORCL;2;1;1,0;0.0385;0.5989;0.5774;2.6189;0.1111;1.0515999794006348;1.0586999654769897;4.2322998046875;2;-0.9545000000000023;0.0193;-0.031500000000000056;0.726123529434471;Best
HG=F;2;1;1,0;0.6235;0.9955;0.997;48.1462;0.004;3.854099988937378;3.5423998832702637;3.5876998901367188;2;-10.8991;0.0178;-0.38849999999999996;0.6078357734999428;Mean
SPY;2;1;1,0;0.0055;0.2083;0.0318;2.2;0.5;0.0;0.5004000067710876;5.363900184631348;2;-17.7133;0.0153;-0.7353;0.5435684477562566;Mean
IVV;2;1;1,0;0.0055;0.2083;0.0318;2.2;0.5;0.0;0.5004000067710876;5.367499828338623;2;-17.7171;0.0153;-0.7358;0.5433990619230495;Mean
VOO;2;1;1,0;0.006;0.1935;0.0348;2.1667;0.5;0.0;0.4505999982357025;5.311800003051758;2;-17.7629;0.0153;-0.7395;0.5420360397885362;Mean
HMC;2;1;1,0;0.1812;0.9372;0.9549;7.0812;0.0161;2.3136000633239746;2.6644999980926514;3.5940001010894775;2;-15.584700000000003;0.0176;-0.5629000000000001;0.5342594353952405;Mean
PALL;2;1;1,0;0.0064;0.1892;0.0905;2.1176;0.5;0.0;0.362199991941452;5.316400051116943;2;10.648399999999992;0.0324;0.20889999999999995;0.4535904970236797;Mean
TM;2;1;1,0;0.01;0.3316;0.2276;2.1846;0.25;0.3984000086784363;0.5062000155448914;4.975500106811523;2;-27.290399999999998;0.0173;-1.0008;0.3434867349793387;Mean
MSFT;2;1;1,0;0.0062;0.3235;0.1244;3.2;0.25;0.8486999869346619;1.0437999963760376;5.302800178527832;2;-26.2126;0.0223;-0.7468;0.26602313462782456;Mean
AAPL;2;1;1,0;0.0097;0.3164;0.1689;2.1702;0.2;0.8568999767303467;0.46320000290870667;4.9542999267578125;2;-26.837500000000002;0.0225;-0.7584;0.2524379698923893;Mean
QQQ;2;1;1,0;0.0054;0.2326;0.0417;2.0;0.25;0.5623000264167786;0.0;5.373799800872803;2;-35.2202;0.0203;-1.1027;0.1696858049772716;Worst
GOOG;2;1;1,0;0.0107;0.3206;0.274;2.2593;0.3333;0.44179999828338623;0.6037999987602234;4.936299800872803;2;-41.6605;0.0245;-1.081;0.00319171171898347;Worst
GM;2;1;1,0;0.0598;0.7169;0.707;3.008;0.0909;1.3265999555587769;1.3538000583648682;3.8485000133514404;2;-49.7023;0.0277;-1.1394;-0.16494465727370639;Worst
F;2;1;1,0;0.1858;0.9648;0.9764;8.054;0.0085;2.3958001136779785;2.793299913406372;3.823699951171875;2;-47.479699999999994;0.0309;-0.9761000000000001;-0.20480636494225074;Worst
INTC;2;1;1,0;0.0483;0.8107;0.841;3.4959;0.0714;1.3906999826431274;1.644700050354004;3.874000072479248;2;-58.7793;0.0241;-1.55;-0.22703366211974574;Worst
TSLA;2;1;1,0;0.0045;0.0;0.0286;2.0;1.0;0.0;0.0;5.462699890136719;2;-96.1875;0.0412;-1.4841;-0.9807787662242962;Worst
RDS-A;2;1;1,0;;;;;inf;0.0;0.0;0.0;2;0.0;;;;Worst
TOT;2;1;1,0;;;;;inf;0.0;0.0;0.0;2;0.0;;;;Worst
