Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
AAPL;4;1;0.8;0.0041;0.0;0.0159;2.0;1.0;0.0;0.0;5.4995;2;-26.8375;0.0225;-0.7584
GOOG;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-41.6605;0.0245;-1.081
MSFT;4;1;0.8;0.0041;0.0;0.016;2.0;1.0;0.0;0.0;5.5032;2;-26.2126;0.0223;-0.7468
AMZN;4;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-58.2284;0.0316;-1.1711
META;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-81.5559;0.0406;-1.2769
XOM;4;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;65.175;0.022;1.8785
CVX;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;49.8271;0.0208;1.5241
BP;4;1;0.8;0.0273;0.7455;0.6496;2.6716;0.1111;1.3352;1.1148;4.5614;2;35.047;0.0224;0.9917
GAZP.ME;4;1;0.8;0.0133;;0.0;;inf;0.0;0.0;4.2905;2;-12.4395;0.0606;-0.4235
LUKOY;4;1;0.8;0.6576;0.9998;0.9988;100.5;0.0063;3.9776;0.6931;1.8741;2;-148.0278;0.0921;-1.021
TSLA;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-96.1875;0.0412;-1.4841
F;4;1;0.8;0.0626;0.915;0.9062;4.7276;0.0417;2.0234;2.132;4.3926;2;-47.4797;0.0309;-0.9761
GM;4;1;0.8;0.008;0.5372;0.2102;2.2889;0.1667;1.0347;0.5809;5.1901;2;-49.7023;0.0277;-1.1394
TM;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-27.2904;0.0173;-1.0008
HMC;4;1;0.8;0.0511;0.8645;0.8271;3.7583;0.0345;1.7756;1.7804;4.294;2;-15.5847;0.0176;-0.5629
GLD;4;1;0.8;0.0046;0.6471;0.0426;2.0;0.3333;0.5004;0.0;5.434;2;1.9204;0.0096;0.1271
SLV;4;1;0.8;0.0549;0.8964;0.8954;3.9413;0.037;1.911;1.8554;4.3883;2;8.3313;0.019;0.2788
PALL;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;10.6484;0.0324;0.2089
PLAT;4;1;0.8;0.0124;0.6938;0.3848;2.371;0.1429;1.2694;0.7951;4.8988;2;-49.7611;0.025;-1.2643
FCX;4;1;0.8;0.0052;0.3784;0.028;2.25;0.25;0.4506;0.5623;5.3598;2;7.3001;0.034;0.1364
SPY;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7133;0.0153;-0.7353
IVV;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7171;0.0153;-0.7358
VOO;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7629;0.0153;-0.7395
QQQ;4;1;0.8;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-35.2202;0.0203;-1.1027
DIA;4;1;0.8;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-5.9812;0.0125;-0.3045
AAPL;4;1;0.9;0.0041;0.0;0.0159;2.0;1.0;0.0;0.0;5.4995;2;-26.8375;0.0225;-0.7584
GOOG;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-41.6605;0.0245;-1.081
MSFT;4;1;0.9;0.0041;0.0;0.016;2.0;1.0;0.0;0.0;5.5032;2;-26.2126;0.0223;-0.7468
AMZN;4;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-58.2284;0.0316;-1.1711
META;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-81.5559;0.0406;-1.2769
XOM;4;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.498;2;65.175;0.022;1.8785
CVX;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;49.8271;0.0208;1.5241
BP;4;1;0.9;0.0359;0.7847;0.7142;2.8111;0.0833;1.5095;1.23;4.4113;2;35.047;0.0224;0.9917
GAZP.ME;4;1;0.9;0.0133;;0.0;;inf;0.0;0.0;4.2905;2;-12.4395;0.0606;-0.4235
LUKOY;4;1;0.9;0.6577;0.9998;0.9989;100.0124;0.0063;3.9776;0.7209;1.8685;2;-148.0278;0.0921;-1.021
TSLA;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-96.1875;0.0412;-1.4841
