Модель;Метрика;Значение
Logistic Regression;Точность;0.2
Logistic Regression;Точность (weighted);0.4
Logistic Regression;Полнота (weighted);0.2
Logistic Regression;F1-мера (weighted);0.26666666666666666
K-Nearest Neighbors;Точность;0.0
K-Nearest Neighbors;Точность (weighted);0.0
K-Nearest Neighbors;Полнота (weighted);0.0
K-Nearest Neighbors;F1-мера (weighted);0.0
Decision Tree;Точность;0.0
Decision Tree;Точность (weighted);0.0
Decision Tree;Полнота (weighted);0.0
Decision Tree;F1-мера (weighted);0.0
Random Forest;Точность;0.0
Random Forest;Точность (weighted);0.0
Random Forest;Полнота (weighted);0.0
Random Forest;F1-мера (weighted);0.0
Naive Bayes;Точность;0.0
Naive Bayes;Точность (weighted);0.0
Naive Bayes;Полнота (weighted);0.0
Naive Bayes;F1-мера (weighted);0.0
Neural Network;MSE;4.745801491323178
